seller_ID;price;card_ID;card_condition;language;is_foiled;amount;date_ID
6945;0.09;1;Near Mint;English;False;1;34
2019;0.29;1;Excellent;English;False;1;34
291;0.39;1;Near Mint;English;False;1;34
28;0.4;1;Near Mint;English;False;1;34
40;0.45;1;Near Mint;English;False;1;34
47;0.47;1;Mint;English;False;1;34
4895;0.5;1;Near Mint;English;False;1;34
2621;2.0;1;Near Mint;English;False;1;34
72;0.5;1;Near Mint;English;False;2;34
78;0.5;1;Near Mint;English;False;1;34
5576;0.5;1;Near Mint;English;False;1;34
6804;0.5;1;Near Mint;English;False;2;34
90;0.51;1;Near Mint;English;False;2;34
90;0.51;1;Near Mint;English;False;4;34
99;0.59;1;Excellent;English;False;2;34
4856;0.6;1;Excellent;English;False;1;34
107;0.6;1;Near Mint;English;False;4;34
110;0.6;1;Near Mint;English;False;1;34
108;0.6;1;Excellent;English;False;2;34
111;0.6;1;Near Mint;English;False;1;34
109;0.6;1;Near Mint;English;False;3;34
6239;0.6;1;Near Mint;English;False;1;34
113;0.6;1;Excellent;English;False;1;34
2532;0.65;1;Near Mint;English;False;1;34
495;0.65;1;Near Mint;English;False;1;34
27;0.65;1;Near Mint;English;False;3;34
116;0.65;1;Near Mint;English;False;1;34
120;0.66;1;Near Mint;English;False;1;34
125;0.69;1;Mint;English;False;3;34
1287;0.69;1;Excellent;English;False;2;34
4862;0.7;1;Near Mint;English;False;1;34
48;0.7;1;Near Mint;English;False;1;34
131;0.7;1;Near Mint;English;False;1;34
129;0.7;1;Near Mint;English;False;3;34
481;0.7;1;Near Mint;English;False;1;34
130;0.7;1;Near Mint;English;False;1;34
5249;0.71;1;Near Mint;English;False;1;34
144;0.75;1;Near Mint;English;False;1;34
4865;0.75;1;Near Mint;English;False;1;34
6959;0.75;1;Near Mint;English;False;1;34
142;0.75;1;Excellent;English;False;2;34
4855;0.79;1;Near Mint;English;False;1;34
6702;0.79;1;Near Mint;English;False;1;34
920;0.8;1;Near Mint;English;False;1;34
4853;0.8;1;Near Mint;English;False;1;34
4868;0.8;1;Near Mint;English;False;2;34
1369;0.84;1;Excellent;English;False;1;34
1195;0.85;1;Near Mint;English;False;1;34
92;0.85;1;Excellent;English;False;1;34
6953;0.85;1;Near Mint;English;False;4;34
5170;0.85;1;Near Mint;English;False;1;34
150;0.88;1;Near Mint;English;False;3;34
1900;0.89;1;Excellent;English;False;1;34
92;0.89;1;Near Mint;English;False;1;34
784;0.89;1;Excellent;English;False;5;34
299;0.9;1;Near Mint;English;False;1;34
5147;0.9;1;Excellent;English;False;5;34
70;0.9;1;Near Mint;English;False;4;34
150;0.9;1;Near Mint;English;False;7;34
267;0.9;1;Near Mint;English;False;1;34
106;0.9;1;Near Mint;English;False;12;34
6673;0.9;1;Near Mint;English;False;1;34
6049;0.91;1;Near Mint;English;False;1;34
60;0.94;1;Excellent;English;False;1;34
2778;0.94;1;Near Mint;English;False;1;34
399;0.95;1;Excellent;English;False;40;34
155;0.95;1;Near Mint;English;False;2;34
157;0.95;1;Near Mint;English;False;5;34
158;0.95;1;Near Mint;English;False;7;34
3401;0.95;1;Near Mint;English;False;2;34
50;0.98;1;Excellent;English;False;1;34
56;0.98;1;Near Mint;English;False;4;34
163;0.99;1;Near Mint;English;False;10;34
49;0.99;1;Near Mint;English;False;4;34
167;0.99;1;Near Mint;English;False;4;34
990;0.99;1;Excellent;English;False;1;34
170;0.99;1;Near Mint;English;False;4;34
478;0.99;1;Excellent;English;False;1;34
4864;0.99;1;Near Mint;English;False;3;34
449;0.99;1;Excellent;English;False;3;34
4871;0.99;1;Near Mint;English;False;1;34
6754;0.99;1;Near Mint;English;False;4;34
173;0.99;1;Mint;English;False;2;34
29;0.99;1;Near Mint;English;False;1;34
5908;0.99;1;Near Mint;English;False;1;34
100;1.0;1;Near Mint;English;False;2;34
177;1.0;1;Excellent;English;False;5;34
916;1.0;1;Near Mint;English;False;1;34
3015;1.0;1;Near Mint;English;False;1;34
105;1.0;1;Near Mint;English;False;6;34
